method,pairs,rotation_error_deg_mean,translation_error_mean,chamfer_distance_mean,pose50,success_rate,skip_rate,runtime_sec_mean
icp_point_to_point,40,24.86771066367286,0.24430365975713358,0.024374169943621384,37.08289365152954,0.475,0.0,0.024354919986217284
icp_point_to_plane,40,32.144374831717116,0.27734758307924495,0.05039813299663365,46.01175398567936,0.525,0.0,0.020727347503998315
icp_trimmed,40,27.30343841904409,0.27423824146972037,0.04628573213703931,41.01535049253011,0.3,0.0,0.02410323248768691
ransac_icp,40,45.843526540075054,0.3685021533863619,0.036512824008241296,64.26863420939316,0.225,0.0,0.6326966399967204
cpd,40,39.22584870519275,0.2465142571600154,0.02030553388176486,51.55156156319352,0.25,0.0,1.177301669996814
identity,40,39.37747305165344,0.46255819126963615,0.2400946722365916,62.50538261513525,0.025,0.0,0.0
fpfh_fgr,40,80.80069334911086,0.41026770435273646,0.24612829298712313,101.31407856674768,0.05,0.0,0.0453229350008769
fpfh_ransac,40,102.45193854904535,0.4241492784582078,0.27773737218230965,123.65940247195574,0.025,0.0,0.1980195174954133
gicp,40,62.95848514359407,0.34457822907716035,0.3125853884965181,80.18739659745208,0.0,0.0,0.039879284988273866
teaserpp,40,inf,inf,inf,inf,0.0,1.0,0.0
super4pcs,40,inf,inf,inf,inf,0.0,1.0,0.0
goicp,40,inf,inf,inf,inf,0.0,1.0,0.0
